name hindex
"Kenichi Yasukata" 3
"Kexin Pei" 2
"Kian Win Ong" 7
"Landon Cox" 27
"Lihua Yuan" 18
"Lintao Zhang" 26
"M. Frans Kaashoek" 85
"Malavika Samak" 4
"Manos Kapritsos" 9
"Marco Serafini" 16
"Marcos K. Aguilera" 37
"Marcus Fontoura" 25
"Matei Zaharia" 35
"Matthew Burke" 1
"Matthias Schlaipfer" 2
"Michael Armbrust" 14
"Michael J. Franklin" 88
"Miguel Castro" 46
"Mike Dahlin" 49
"Mingzhe Hao" 6
"Nickolai Zeldovich" 40
"Nitin Agrawal" 12
"Pandian Raju" 0
"Pat Pannuto" 10
"Peter Knowles" 57
"Peter M. Chen" 43
"Philip Levis" 54
"Prabal Dutta" 41
"Qi Huang" 9
"Ramakrishna Kotla" 15
"Remzi Arpaci-Dusseau" 50
"Robbert van Renesse" 60
"Robert Ricci" 21
"Robert Soulé" 12
"Rodrigo Rodrigues" 30
"Rong Chen" 15
"Ryan Stutsman" 13
"Shivaram Venkataraman" 14
"Simon Peter" 13
"Srinivas Devadas" 78
"Srivatsa S. Bhat" 2
"Steven Swanson" 36
"Suman Jana" 15
"Tyler Hunt" 3
"Wencong Xiao" 2
"Wyatt Lloyd" 11
"Xi Wang" 16
"Xiaozhou Li" 9
"Yibo Zhu" 10
"Yiying Zhang" 7
"Yongle Zhang" 3
"Yongqiang Xiong" 21
"Yuanwei Lu" 2
"Úlfar Erlingsson" 27
"Aad van Moorsel" 24
"Abhik Roychoudhury" 37
"Abhishek Jain" 19
"Abhrajit Sengupta" 2
"Ada Lerner" 3
"Adam Doupé" 10
"Adib Nahiyan" 3
"Adrian Perrig" 89
"Adrienne Porter Felt" 23
"Aggelos Kiayias" 32
"Ahmed Kosba" 12
"Alain Forget" 15
"Alejandro Russo" 22
"Alessandro Orso" 49
"Alex J. Malozemoff" 8
"Alexander Gamero-Garrido" 1
"Alexander Russell" 28
"Alireza Sadighian" 5
"Alvaro A. Cardenas" 25
"Andrea Cerulli" 4
"Andrea Lanzi" 17
"Andrew C. Myers" 47
"Andrew J. Blumberg" 25
"Andrew W. Appel" 50
"Andy Rupp" 14
"Angelos D. Keromytis" 64
"Antonio Marcedone" 4
"Anupam Das" 7
"Ari Juels" 72
"Ariel Nof" 3
"Arman Noroozian" 4
"Arthur Gervais" 6
"Arya Mazumdar" 13
"Aseem Rastogi" 7
"Ashish Bijlani" 3
"Ashwin Machanavajjhala" 25
"Athanasios Kountouras" 1
"Athina Petropulu" 42
"Attila A. Yavuz" 12
"Aylin Caliskan" 8
"Bart Preneel" 69
"Benedikt Schmidt" 12
"Benjamin Beurdouche" 2
"Benny Pinkas" 45
"Benoït Gérard" 15
"Bernd Finkbeiner" 23
"Blase Ur" 23
"Bo-Yin Yang" 30
"Brendan Dolan-Gavitt" 9
"Brent ByungHoon Kang" 14
"Brian N. Levine" 47
"Briland Hitaj" 2
"Carl A. Gunter" 45
"Carla Ràfols" 13
"Carmit Hazay" 19
"Cas Cremers" 26
"Ceyhun D. Ozkaptan" 0
"Chang Liu" 14
"Changwoo Min" 9
"Changyu Dong" 11
"Charles Lever" 6
"Charles Weir" 6
"Chen Wang" 4
"Christian Boit" 20
"Christian Rechberger" 34
"Claudia Diaz" 28
"Claudio Orlandi" 19
"Congzheng Song" 1
"Cynthia Taylor" 6
"Daiping Liu" 4
"Damien Stehle" 30
"Dan Margolis" 3
"Daniel Genkin" 11
"Daniel Ramage" 18
"Daniel Slamanig" 14
"Dave Tian" 6
"David Basin" 50
"David Derler" 5
"David Korczynski" 1
"David Kotz" 67
"Dawn Song" 91
"Deian Stefan" 18
"Dennis Andriesse" 7
"Dhinakaran Vinayagamurthy" 5
"Dinghao Wu" 17
"Divesh Srivastava" 78
"Dmitri Loguinov" 37
"Dmitry Kogan" 1
"Dohyun Kim" 5
"Dongyu Meng" 1
"Doowon Kim" 4
"Douglas Stebila" 22
"Dov Gordon" 12
"Duc Cuong Nguyen" 1
"Duong Hieu Phan" 14
"Dusan Klinec" 1
"Eduardo Vela" 4
"Ee-Chien Chang" 29
"Ehab Al-Shaer" 36
"Elette Boyle" 11
"Eric Osterweil" 14
"Erik Derr" 4
"Ethan Cecchetti" 1
"Eugen Zalinescu" 13
"Eugene Vasserman" 11
"Evan Downing" 2
"Ewa Syta" 7
"Fabian Monrose" 39
"Fahad Shaon" 0
"Fan Zhang" 4
"Farhaan Fowze" 1
"Feifei Li" 30
"Fengwei Zhang" 9
"Fernando Perez-Cruz" 27
"Fernando Pérez-González" 30
"Frank Piessens" 39
"Franziska Roesner" 15
"François Dupressoir" 10
"Gabriel Kaptchuk" 1
"Gang Tan" 21
"Gene Tsudik" 85
"Geoffroy Couteau" 3
"George Danezis" 40
"Georgios Portokalidis" 19
"Gerome Miklau" 24
"Giancarlo Pellegrino" 8
"Gihyuk Ko" 7
"Giuseppe Ateniese" 38
"Grant Hernandez" 1
"Gregory Neven" 29
"Guanhua Yan" 26
"Gunes Acar" 6
"Guoming Zhang" 1
"Guoxing Chen" 3
"H. Brendan McMahan" 18
"Hadi Zolfaghari" 1
"Haining Wang" 37
"Haixin Duan" 21
"Haixu Tang" 40
"Hao Chen" 37
"Helmut Seidl" 39
"Hoeteck Wee" 28
"Hong-Sheng Zhou" 14
"Hongyu Liu" 1
"Hossein Siadati" 4
"Huasong Shan" 1
"Hugo Pacheco" 9
"Hung Dang" 3
"HyungSeok Han" 1
"Ilia Lebedev" 7
"Issa Khalil" 23
"Jack Doerner" 2
"Jan Camenisch" 58
"Jason Zhao" 1
"Je Hong Park" 11
"Jean-Karim Zinzindohoué" 5
"Jean-Pierre Seifert" 34
"Jeremiah Blocki" 12
"Jeyavijayan Rajendran" 25
"Jian Huang" 22
"Jian Weng" 21
"Jian1 Liu" 6
"Jian2 Liu" 3
"Jie Huang" 1
"Jie Yang" 27
"Jinhua Cui" 1
"Joanne Woodage" 1
"Jonathan Katz" 67
"Jonathan Protzenko" 6
"Joseph Jaeger" 3
"José Bacelar Almeida" 15
"Juan Garay" 43
"Jun Pang" 26
"Jun Xu" 20
"Juri Ranieri" 11
"Karn Seth" 6
"Karthikeyan Bhargavan" 30
"Kasper Rasmussen" 15
"Katherine Q. Ye" 1
"Kehuan Zhang" 11
"Keith Bonawitz" 5
"Kirill Levchenko" 24
"Konstantin Beznosov" 36
"Kui Ren" 55
"Kun Sun" 18
"Kurt Thomas" 15
"Kyong-Tak Cho" 8
"Latifur Khan" 42
"Le Song" 39
"Leon Groot Bruinderink" 3
"Levente Buttyán" 48
"Leyla Bilge" 13
"Limin Jia" 17
"Lok Yan" 25
"Lorrie Faith Cranor" 78
"Luca Allodi" 6
"Luca Invernizzi" 9
"Luca Nizzardo" 3
"Lucas Waye" 3
"Luyi Xing" 6
"Maliheh Shirvanian" 5
"Manh-Dung Nguyen" 1
"Manolis Stamatogiannakis" 3
"Manu Drijvers" 2
"Manuel Barbosa" 17
"Marc Juarez" 6
"Marcel Böhme" 7
"Marcel Keller" 9
"Marco Guarnieri" 5
"Mariana Raykova" 21
"Mark Tehranipoor" 44
"Marten van Dijk" 42
"Martin Johns" 17
"Martin Kucera" 8
"Mathias Humbert" 11
"Mathy Vanhoef" 5
"Matteo Campanelli" 3
"Matteo Dell’Amico" 12
"Matthew Green" 24
"Matthew Hicks" 8
"Matthew Thomas" 5
"Matthew Wright" 21
"Mattia Fazzini" 3
"Matus Nemec" 2
"Mehdi Tibouchi" 21
"Melissa Chase" 20
"Michael Hay" 17
"Michael Weissbacher" 3
"Michalis Polychronakis" 30
"Michel van Eeten" 25
"Michelle L. Mazurek" 17
"Mihir Bellare" 95
"Mike Rosulek" 13
"Milad Nasr" 3
"Ming-Hsien Tsai" 10
"Mohammad Mahmody" 12
"Mohit Tiwari" 17
"Moinuddin Qureshi" 28
"Moti Yung" 87
"Muhammad Yasin" 7
"Murat Kantarcioglu" 41
"Muthuramakrishnan Venkitasubramaniam" 12
"N. Asokan" 43
"Nan Zhang" 5
"Neha Chachra" 5
"Ni Trieu" 4
"Nico Döttling" 10
"Nikolaos Pitropakis" 4
"Nikolaos Vasiloglou" 8
"Nima Honarmand" 9
"Nitesh Saxena" 30
"Niv Gilboa" 10
"Noah Stephens-Davidowitz" 8
"Olga Ohrimenko" 11
"Oliver Schranz" 2
"Omar Chowdhury" 6
"Owen Arden" 6
"Ozgur Sinanoglu" 21
"Pablo Buiras" 7
"Pardis Emami Naeini" 1
"Patrick McCorry" 5
"Patrick Schaumont" 39
"Peiyuan Zong" 1
"Petar Tsankov" 5
"Peter Pessl" 5
"Peter Rindal" 3
"Petr Svenda" 6
"Philipp Jovanovic" 11
"Pierre-Alain Fouque" 34
"Pierre-Yves Strub" 19
"Piotr Mardziel" 6
"Pramod Subramanyan" 9
"Priyam Biswas" 1
"Qian Feng" 6
"Qiang Tang" 6
"Qingyang Wang" 13
"Rachel Greenstadt" 21
"Rahul Chatterjee" 4
"Rainer Böhme" 35
"Rami Khalil" 1
"Rebekah Overdorf" 4
"Rohit Sinha" 6
"Romain Gay" 5
"Rosa Romero-Gómez" 4
"Rosario Gennaro" 58
"Ryan Henry" 8
"Sadia Afroz" 15
"Sam Scott" 3
"Samaneh Tajalizadehkhoob" 4
"Samee Zahur" 6
"Samuel Ranellucci" 5
"Sanchuan Chen" 2
"Sang Kil Cha" 9
"Sanidhya Kashyap" 5
"Sanjay Bhattacherjee" 3
"Sanjit Seshia" 39
"Sarah Pearman" 1
"Sascha Fahl" 14
"Satrajit Ghosh" 2
"Satyanarayana Vusirikala" 1
"Scott Carr" 2
"Scott Coull" 15
"Sebastian Berndt" 2
"Sebastian Ramacher" 3
"Serge Egelman" 27
"Sergey Gorbunov" 10
"Shahin Tajik" 8
"Shai Halevi" 65
"Shashank Agrawal" 9
"Shay Gueron" 28
"Sheng Tan" 3
"Shijie Jia" 3
"Shirin Nilizadeh" 6
"Shota Yamada" 10
"Shuang Hao" 6
"Shweta Agrawal" 17
"Simon Oya" 3
"Song Li" 1
"Sriharsha Etigowni" 1
"Srivatsan Ravi" 6
"Stefan Katzenbeisser" 37
"Stelios Sidiroglou-Douskos" 27
"Stephen Chong" 23
"Steven Goldfeder" 5
"Sven Bugiel" 15
"Sven Schäge" 9
"Syed Mahbub Hafiz" 1
"Tadayoshi Kohno" 54
"Tal Malkin" 39
"Tal Moran" 17
"Tamara Denning" 14
"Thang Hoang" 7
"Theofilos Petsios" 4
"Thomas Espitau" 4
"Thomas Vissers" 4
"Thomas Wies" 22
"Tiago Oliveira" 1
"Timon Gehr" 2
"Timothy Barron" 0
"Timothy Sherwood" 40
"Ting Yu" 33
"Tom Van Goethem" 6
"Tommaso Frassetto" 2
"Tongping Liu" 5
"Tongxin Li" 4
"Tuba Yavuz" 10
"Tudor Dumitraş" 19
"Tyler Moore" 32
"Tzipora Halevi" 11
"Vadim Lyubashevsky" 20
"Van-Thuan Pham" 4
"Vashek Matyas" 15
"Vasilios Mavroudis" 2
"Victor Shoup" 53
"Viet Tung Hoang" 12
"Vincent Bindschaedler" 6
"Vitor Pereira" 0
"Vivek Srikumar" 14
"Vladimir Kolesnikov" 23
"Véronique Cortier" 30
"Wei Dai" 10
"Wei You" 7
"Wen Xu" 2
"Wenhao2 Wang" 4
"Wenyuan Xu" 24
"Xi He" 2
"Xiao Wang" 8
"Xiaojun Xu" 2
"Xiaokui Xiao" 38
"Xiaolong Bai" 6
"Xiaoyu Ji" 5
"Xinyu Xing" 11
"Xuhua Ding" 20
"Yacin Nadji" 9
"Yan Chen" 3
"Yan Huang" 15
"Yanchao Zhang" 36
"Yang Zhang" 7
"Yao Liu" 13
"Yao Lu" 4
"Yehuda Lindell" 45
"Yeonjoon Lee" 5
"Yi Chen" 28
"Yi Han" 0
"Yilei Wang" 5
"Yin Yang" 21
"Yingying Chen" 35
"Yizheng Chen" 4
"Yuan Xiao" 2
"Yufei Han" 12
"Yujin Kwon" 1
"Yunmok Son" 4
"Yuseok Jeon" 2
"Yuval Ishai" 51
"Yuval Yarom" 17
"Zain Shamsi" 1
"Zhan Qin" 9
"Zhenyu Wu" 12
"Zhi Wang" 18
"Zhiqiang Lin" 21
"Zhou Li" 13
"Aaron Harwood" 18
"Abani Patra" 27
"Abbas Mehrabian" 8
"Abdelhalim Amer" 6
"Abhinav Bhatele" 28
"Abhinav Vishnu" 20
"Adrian Cristal" 27
"Ahmad Samih" 6
"Ahmed Hemani" 21
"Ajoy K. Datta" 27
"Alan Sussman" 36
"Alberto Marchetti-Spaccamela" 38
"Alexander Heinecke" 16
"Alexandros Stamatakis" 47
"Alfredo Gimenez" 5
"Ali Pourmiri" 3
"Amanda Randles" 14
"Amrita Mathuriya" 2
"Ana Lucia Varbanescu" 15
"Anaïs Durand" 1
"Andrea Clementi" 28
"Andrea Pietracaprina" 19
"Andreas Knuepfer" 15
"Andrew Canning" 25
"Andrew Lumsdaine" 53
"Anne Benoit" 22
"Anouar Benali" 4
"Anthony Danalis" 14
"Antonino Tumeo" 17
"Antonio Pena" 12
"Anys Bacha" 4
"Apala Guha" 6
"Ariful Azad" 8
"Armando Castañeda" 8
"Armin Alaghi" 12
"Arpith Jacob" 15
"Arrvindh Shriraman" 16
"Artur Czumaj" 31
"Ashok Srinivasan" 17
"Ashwin Aji" 13
"Aydin Buluç" 19
"Barry Rountree" 21
"Ben Juurlink" 26
"Benjamin Doerr" 28
"Benjamin Klenk" 3
"Benjamin Moseley" 17
"Bertil Schmidt" 35
"Biagio Cosenza" 7
"Bill Barth" 11
"Bingsheng He" 37
"Bo Mao" 12
"Bo Wu" 8
"Borzoo Bonakdarpour" 17
"Boyu Zhang" 5
"Brian C. Van Essen" 12
"Calvin Newport" 25
"Carl Yang" 4
"Carlo C. del Mundo" 3
"Carola Doerr" 14
"Chen Avin" 18
"Chen Ding" 27
"Chenhan D. Yu" 6
"Chris Hughes" 21
"Christian Scheideler" 34
"Christian Schindelhauer" 23
"Christian Terboven" 13
"Christof Fetzer" 38
"Christoph Junghans" 15
"Christopher Gorman" 1
"Colette Johnen" 19
"Costas Bekas" 13
"Costas Busch" 20
"Costin Iancu" 19
"Cynthia Phillips" 31
"Cyriel Minkenberg" 21
"César A. F. de Rose" 18
"Da Zhang" 2
"Dan Ernst" 10
"Daniel Bodony" 19
"Daniel Holladay" 1
"Daniel S. Katz" 30
"Dantong Yu" 16
"Danupon Nanongkai" 19
"David Abramson" 39
"David Beckingsale" 6
"David Bindel" 21
"David Flores-Peñaloza" 6
"David Haglin" 14
"David Patterson" 91
"David Rogers" 8
"Devin Matthews" 9
"Dezun Dong" 11
"Dhabaleswar K. Panda" 55
"Dheeraj Sreedhar" 7
"Diana Goehringer" 14
"Dilma da Silva" 38
"Dimitrios S. Nikolopoulos" 29
"Dingwen Tao" 3
"Dmitry Lyakh" 13
"Donald Yeung" 24
"Dong Li" 17
"Dongxiao Yu" 13
"Dorian Arnold" 19
"Edgar Solomonik" 12
"Edoardo Apra" 38
"Eduard Ayguade" 46
"El Mahdi El Mhamdi" 2
"Emmanuel Jeannot" 23
"Enrique Vallejo" 11
"Eric Bylaska" 30
"Erik Saule" 19
"Eun Jung Kim" 38
"Evangelos Kranakis" 46
"Fabio Checconi" 16
"Farrukh Hijaz" 6
"Feng Qin" 19
"Fernando Luís Dotti" 12
"Fernando Pedone" 30
"Flavio Vella" 4
"Francesco Pasquale" 14
"Franck Cappello" 42
"Francois-Henry Rouet" 6
"Frank Mueller" 48
"Frederic Desprez" 26
"Frederic Magniez" 22
"Frederic Nataf" 28
"Fredrik Manne" 26
"Friedhelm Meyer auf der Heide" 32
"Frédéric Vivien" 27
"Gang Qu" 33
"Georg Hager" 27
"Georg Stadler" 25
"George Biros" 34
"George Giakkoupis" 14
"George Karypis" 85
"George M. Slota" 6
"Geppino Pucci" 20
"Gerhard Wellein" 33
"Gianlorenzo D'Angelo" 17
"Gokarna Sharma" 7
"Gokcen Kestor" 6
"Gopal Pandurangan" 27
"Graham Lopez" 4
"Grey Ballard" 15
"Guang R. Gao" 53
"Guido Proietti" 17
"Guillaume Aupy" 8
"H. Howie Huang" 17
"Hai Jin" 51
"Haiying Shen" 27
"Halit Dogan" 2
"Hans Eberle" 20
"Hao Wang" 17
"Haohuan Fu" 19
"Hari Sundar" 18
"Hatem Ltaief" 24
"Henri Casanova" 50
"Hillery Hunter" 45
"Hiroshi Inoue" 13
"Hiroshi Nakashima" 15
"Holger Fröning" 12
"Hong Jiang" 36
"Hui Zhang" 0
"Huiyang Zhou" 25
"Hyesoon Kim" 33
"Hyojong Kim" 3
"Ignacio Laguna" 10
"Ioakeim Perros" 3
"Ivan Walulya" 3
"Jack Dongarra" 124
"Jack Wells" 23
"Jackie Chen" 50
"Jaehyuk Huh" 16
"Jaime Arteaga" 2
"James Ahrens" 26
"James Lin" 2
"Jan Lucas" 3
"Jan Prins" 38
"Jason Cong" 74
"Jason Liu" 26
"Jason N. Byrd" 10
"Jason Riedy" 15
"Jed Brown" 13
"Jee W. Choi" 9
"Jeff R. Hammond" 23
"Jeffrey K. Hollingsworth" 36
"Jeffrey S. Vetter" 43
"Jen-Cheng Huang" 4
"Jennifer Welch" 31
"Jeongnim Kim" 26
"Jerry L. Trahan" 16
"Jesus Labarta" 42
"Jia Rao" 17
"Jiajia Li" 4
"Jiang Hu" 34
"Jianyu Huang" 2
"Jiarui Fang" 2
"Jichuan Chang" 21
"Jie Wang" 11
"Jie Zhang" 22
"Jimeng Sun" 45
"Jing Zhang" 7
"Jishen Zhao" 16
"Jithin Jose" 13
"John D. Owens" 49
"John Kim" 25
"John Leidel" 3
"Jonathan Jenkins" 14
"Jongsoo Park" 13
"Josef Weinbub" 6
"Josep M. Perez" 16
"Juan J. Durillo" 23
"Judicael A. Zounmevo" 5
"Julien Langou" 28
"Jung Ho Ahn" 28
"Jungwon Kim" 9
"Jurek Czyzowicz" 26
"Kamesh Madduri" 26
"Kamil Iskra" 21
"Kanat Tangwongsan" 17
"Karen Devine" 30
"Karine Altisen" 13
"Karthik Vaidyanathan" 5
"Kartik Gopalan" 26
"Kathryn Mohror" 13
"Kazuaki Ishizaki" 12
"Kazutomo Yoshii" 10
"Kei Davis" 22
"Keishla D Ortiz-Lopez" 1
"Kelly Shaw" 8
"Ken Jansen" 33
"Ken Raffenetti" 3
"Kenjiro Taura" 25
"Kentaro Torisawa" 29
"Kento Sato" 9
"Kirk W. Cameron" 27
"Kishore Kothapalli" 15
"Koji Inoue" 18
"Kolin Paul" 14
"Kshitij Mehta" 2
"Kyle Chard" 19
"Kyle Hale" 6
"Kyung Hoon Kim" 13
"Lars Nagel" 7
"Lata Narayanan" 16
"Laura Carrington" 19
"Lawrence L. Larmore" 25
"Laxmikant Kale" 54
"Leszek Gasieniec" 34
"Lifeng Nai" 6
"Liqiang Wang" 21
"Lizy K. John" 44
"Loris Marchal" 19
"Luciano Gualà" 8
"Luis Ceze" 38
"Luke Olson" 14
"Luke Shulenburger" 12
"Lélia Blin" 13
"Maciej Besta" 5
"Maciej Malawski" 20
"Madhusudhan Govindaraju" 26
"Magnus M. Halldórsson" 40
"Mahantesh Halappanavar" 12
"Mahdi Jafari Siavoshani" 10
"Mahdi Nazm Bojnordi" 7
"Manish Parashar" 48
"Manisha Gajbe" 2
"Marc Casas" 12
"Marc Snir" 58
"María Jesús Garzarán" 22
"Maria Potop-Butucaru" 25
"Mark Hoemmen" 16
"Mark Oskin" 25
"Martin Berzins" 33
"Martin Farach-Colton" 46
"Martin Schulz" 44
"Masaaki Kondo" 15
"Masab Ahmad" 4
"Masahiro Tanaka" 15
"Mateo Valero" 56
"Mathias Jacquelin" 7
"Mathieu Faverge" 15
"Matthew Knepley" 21
"Matthias Blumrich" 23
"Matthieu Dreher" 5
"Maxime Hugues" 5
"Merav Parter" 13
"Michael Gowanlock" 5
"Michael Heroux" 29
"Michael Klemm" 9
"Michela Taufer" 21
"Michele Flammini" 20
"Miquel Vidal" 2
"Mohammad Taghi Hajiaghayi" 46
"Moriyoshi Ohara" 10
"Naeem Abbas" 4
"Nakul Jindal" 3
"Nam Sung Kim" 37
"Nancy Amato" 48
"Naoya Maruyama" 20
"Nathan R. Tallent" 14
"Nikhil Bansal" 38
"Nikhil Jain" 14
"Nodari Sitchinava" 12
"Oded Schwartz" 16
"Odorico M. Mendizabal" 4
"Olaf Schenk" 27
"Olga Pearce" 6
"Oliver Sinnen" 16
"Olivier Beaumont" 24
"Omer Khan" 15
"Oscar Hernandez" 13
"Osman Unsal" 27
"Ozcan Ozturk" 19
"Pablo Fuentes" 4
"Palden Lama" 13
"Paola Flocchini" 41
"Paolo Penna" 21
"Pascal Felber" 43
"Patrick Flick" 3
"Paul Spirakis" 40
"Pavan Balaji" 32
"Pengcheng Li" 4
"Pete Beckman" 31
"Peter Kling" 8
"Philip Carns" 19
"Philippas Tsigas" 29
"Philippe Clauss" 16
"Pierluigi Crescenzi" 29
"Pierre Fraigniaud" 46
"Pieter Ghysels" 10
"Pietro Cicotti" 11
"Piotr R. Luszczek" 28
"Piotr Sankowski" 20
"Pranith Kumar" 3
"Qi Zhu" 17
"Qing Yi" 17
"Quentin F. Stout" 43
"Rachid Guerraoui" 64
"Radu Teodorescu" 13
"Rahul Boyapati" 2
"Ramesh Balakrishnan" 3
"Ramon Canal" 18
"Ramón Beivide" 22
"Reetuparna Das" 20
"Richard Murphy" 17
"Richard Vuduc" 32
"Rio Yokota" 15
"Robert B. Ross" 39
"Robert D. Moser" 39
"Robert Elsasser" 20
"Robert Harrison" 52
"Robert Krauthgamer" 31
"Robert Latham" 22
"Robert Senger" 14
"Robert Van De Geijn" 50
"Roberto Gioiosa" 18
"Rodney J. Bartlett" 112
"Ronald Brightwell" 32
"Ryan Friese" 8
"Ryan Grant" 11
"Sabela Ramos" 9
"Saber Feki" 5
"Sam Gutierrez" 3
"Sameer Shende" 26
"Samuel K. Gutiérrez" 3
"Sangmin Seo" 11
"Sanjeev Baskiyar" 19
"Sarunya Pumma" 1
"Scott B. Baden" 25
"Scott Beamer" 10
"Scott D. Pakin" 19
"Seffi Naor" 51
"Sergio Martin" 3
"Sergio Rajsbaum" 29
"Seyong Lee" 13
"Shaden Smith" 6
"Sheng Di" 14
"Shigang Li" 5
"Shihan Xiao" 3
"Shlomi Dolev" 42
"Shuaiwen Leon Song" 17
"Shun Yao" 3
"Silvia Bonomi" 10
"Silvio Lattanzi" 16
"Simon D. Hammond" 13
"Sivasankaran Rajamanickam" 14
"Smruti R. Sarangi" 17
"Sohan Lal" 2
"Song Wu" 23
"Sridutt Bhalachandra" 5
"Srinivas Aluru" 37
"Stephen L. Olivier" 13
"Stéphane Devismes" 15
"Sudeep Pasricha" 26
"Suleyman Tosun" 11
"Sung Woo Chung" 15
"Sunita Chandrasekaran" 8
"Suraj Kumar" 4
"Susanne Albers" 35
"Suzhen Wu" 10
"Swann Perarnau" 6
"Syed M. A. H. Jafri" 10
"Tamara G. Kolda" 44
"Tanzima Z. Islam" 5
"Tao Gao" 2
"Tapasya Patki" 6
"Teng Long" 4
"Teng Wang" 7
"Thomas R. W. Scogland" 12
"Thomas Sauerwald" 22
"Tigran Tonoyan" 5
"Timothy G. Mattson" 25
"Timothy Germann" 39
"Todd Gamblin" 19
"Tomasz Jurdziński" 14
"Torsten Hoefler" 33
"Toshio Endo" 18
"Trilce Estrada" 10
"Ulrike Yang" 25
"Ulya R. Karpuzcu" 9
"Venkatesan T. Chakaravarthy" 17
"Vicenç Beltran" 15
"Vignesh Adhinarayanan" 4
"Vijay K. Garg" 38
"Vincenzo Bonifaci" 21
"Wei Chen" 30
"Wei Huang" 27
"Wei Xie" 2
"Wei Xue" 16
"Weikuan Yu" 26
"Weimin Zheng" 31
"Wesley Bland" 10
"Wibe De Jong" 31
"William March" 8
"Wu Feng" 46
"Xiang Ni" 8
"Xiang Pan" 3
"Xiaobo Zhou" 23
"Xiaochen Guo" 5
"Xiaoye Sherry Li" 31
"Xiaoyi Lu" 15
"Xin Yuan" 27
"Xinfeng Xie" 0
"Xing Liu" 9
"Xingyun Qi" 7
"Xu Liu" 10
"Xuehai Qian" 7
"Xuewen Cui" 2
"Yanfei Guo" 9
"Yangzihao Wang" 5
"Yanjie Wei" 11
"Yash Ukidave" 6
"Ye Luo" 6
"Yogish Sabharwal" 19
"Yong Chen" 19
"Yongchao Liu" 19
"Yonghong Yan" 9
"Yongpeng Zhang" 8
"Yossi Azar" 45
"Young Wn Song" 2
"Youwei Zhuo" 1
"Yu Hua" 16
"Yuan He" 22
"Yuanyuan Yang" 49
"Yuduo Wu" 4
"Yuechao Pan" 9
"Yujie An" 2
"Yukiko Yamauchi" 8
"Yunquan Zhang" 14
"Yves Robert" 45
"Yvonne-Anne Pignolet" 14
"Zhiyi Huang" 16
"Zhiying Wang" 11
"Zizhong Chen" 23
"Zvi Drezner" 54
"Ümit V. Çatalyürek" 45
"Aaron Smith" 8
"Adrián Castelló" 5
"Aleksandar Prokopec" 8
"Alfredo Goldman" 17
"Amelie Chi Zhou" 7
"Ana Moreton-Fernandez" 1
"Andreas Knüpfer" 15
"Angeles G. Navarro" 10
"Ann Almgren" 29
"Anne-Cécile Orgerie" 13
"Antonio J. Peña" 13
"Aparna Chandramowlishwaran" 11
"Arie Taal" 12
"Arnaud Legrand" 25
"Arturo Gonzalez-Escribano" 14
"Aydin Buluc" 20
"Bora Uçar" 19
"Boris Teabe" 2
"Borja Pérez" 2
"Brandon Cook" 7
"Bruno Raffin" 21
"Cees de Laat" 31
"Cevdet Aykanat" 33
"Christian Perez" 20
"Christophe Dubach" 11
"Christos Zaroliagis" 25
"Clément Foyer" 1
"Daniel Hagimont" 22
"Daniel Ruprecht" 10
"David E. Keyes" 40
"David R. Kaeli" 33
"Deming Chen" 29
"Denis Barthou" 16
"Denis Trystram" 32
"Didem Unat" 9
"Diego R. Llanos" 12
"Dirk Habich" 12
"Diwakar Krishnamurthy" 16
"Eduardo Roloff" 3
"Elias P. Duarte Jr." 14
"Emilio Luque" 24
"Enrique S. Quintana-Orti" 35
"Esteban Stafford" 6
"Evangelos Georganas" 7
"Fabien Hermenier" 10
"Fabio Kon" 29
"Felix Wolf" 29
"Florina Ciorba" 8
"Francisco Almeida" 17
"Francisco F. Rivera" 17
"Franck Ledoux" 10
"Franck Pommereau" 13
"Franz-Josef Pfreundt" 9
"Gabriel Antoniu" 24
"George Bosilca" 32
"Georges da Costa" 17
"Georgios Chasparis" 9
"Georgios Goumas" 15
"Giorgio Lucarelli" 9
"Goran Flegar" 1
"Guido Araujo" 20
"Hannes Voigt" 5
"Hans Vandierendonck" 19
"Hassan Halawa" 4
"Hazem Abdelhafez" 2
"Henning Meyerhenke" 17
"Huan Zhou" 3
"Ian Foster" 123
"Ioana Banicescu" 16
"Ivona Brandic" 32
"Jerónimo Castrillón" 12
"Jesus Omana Iglesias" 3
"John Shalf" 50
"Jorge González-Domínguez" 8
"Jose Luis Bosque" 13
"Josef Weidendorfer" 12
"José C. Cabaleiro" 12
"José Nelson Amaral" 19
"João M. P. Cardoso" 26
"Julian Kunkel" 12
"Julius Zilinskas" 20
"Katherine Yelick" 55
"Krzysztof Rzadca" 12
"Laleh Aghababaie Beni" 2
"Laura Pozzi" 25
"Laura Ricci" 15
"Leonid Oliker" 40
"Louis-Claude Canon" 9
"Lucas Mello Schnorr" 11
"Luciano Paschoal Gaspary" 18
"Luiz F. Bittencourt" 14
"Luís Veiga" 17
"Marc Gonzalez Tallada" 22
"Marcin Zalewski" 10
"Marco Cello" 6
"Marco Danelutto" 32
"Marcos Amarís" 2
"Martin Burtscher" 32
"Mary Hall" 40
"Matei Ripeanu" 37
"Matthias Diener" 10
"Matthias Müller" 24
"Matthieu Dorier" 7
"Mauricio Marin" 16
